Feature ID	Taxon	Confidence
8d852f767f893a4dd3f54e59462fbfff	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__	0.9999794296467442
ebbca080d5d011f38efa444c6d56955d	k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__	0.9999581166248639
72404f4ded94681fe6617a569bcbd8b8	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__acidaminiphila	0.9999803603885098
9d64c96334174633f1314b69f2faaffd	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__PK29; f__; g__; s__	0.9999999998686206
82d2696ca145fe6654bb60a57f696c47	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.999999996320272
ed5d3103312dcb066902e5ef9ad35557	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.9659190627365623
e24c86ac9635e7258ad87fb0b63098d5	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	0.9996243943456692
b37bc86786ec274be659d8c0432a0a5a	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__	0.9480818701935866
f54c30a812ee5bf19bf2f6b0cd2d365b	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__Chlamydomonadaceae; g__Oophila; s__amblystomatis	0.9558186977752793
b3d19fc574e03447f67a6b71e9987521	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae	0.9994113455817846
6a6e9874c4c769d5dabe726394e213b8	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.9998918082737106
9eb49d4699e7fa376332c2fa1e8600de	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__	0.9999999946733311
5c5e3828836f825d1cd8c2568619941c	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	0.9999989353915719
8cbb43004452cdca175c1a092f3a8fd2	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__	0.9999999527467918
f8eccf4a28819d0a0826361c254f73bf	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__	0.9991643804261091
b554f2bcf859db9b8fb1c4a3ffde812f	k__Bacteria	0.9811493681763208
d55e44e033f95f6d391984c38ca4e099	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	0.9999996443834995
551c5394fe8650e9e74884579bb6386f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae	0.9120371567250585
73ac66ef8038846e73863b79030f41dd	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__	0.9999727813567315
